adult,genre_ids,id,original_language,original_title,popularity,release_date,title,vote_average,vote_count,revenue,production_companies,budget
False,"[18, 10749]",119675,en,Behind the Candelabra,23.842,2013-05-26,Behind the Candelabra,6.656,746,15600000.0,"['Jerry Weintraub Productions', 'HBO Films']",23000000.0
False,"[35, 10749]",14197,en,My Sassy Girl,14.629,2008-05-26,My Sassy Girl,6.656,344,0.0,"['CJ Entertainment', 'Gold Circle Films', 'Madacy Entertainment', 'Maverick Films', 'Sassy Girl Productions', 'Vertigo Entertainment', 'Mandate International']",0.0
False,"[28, 53]",10135,en,Road House,76.985,1989-05-19,Road House,6.656,1064,30100000.0,"['United Artists', 'Star Partners II Ltd.', 'Silver Pictures']",15000000.0
False,"[12, 18, 10749, 14]",78698,en,Big Miracle,28.093,2012-02-02,Big Miracle,6.655,465,24719215.0,"['Working Title Films', 'Universal Pictures', 'Anonymous Content', 'Dune Entertainment', 'Ingenious Film Partners', 'Big Screen Productions', 'Haishang Films', 'Working Title Films']",40000000.0
False,"[10749, 18]",11541,en,The Year of Living Dangerously,17.962,1982-12-17,The Year of Living Dangerously,6.7,300,1300000.0,"['McElroy & McElroy', 'Metro-Goldwyn-Mayer', 'United International Pictures', 'Freddie Fields Productions']",6000000.0
False,"[28, 53]",3595,en,Ransom,21.965,1996-11-08,Ransom,6.655,1718,309492681.0,['Touchstone Pictures'],80000000.0
False,"[35, 18, 10752]",321751,en,A Perfect Day,17.714,2015-08-28,A Perfect Day,6.654,590,1702433.0,"['Mediapro', 'Reposado Producciones', 'TV3', 'Canal+ España', 'TVE']",0.0
False,"[18, 28, 53, 10752]",162215,en,How I Live Now,20.831,2013-09-10,How I Live Now,6.654,832,0.0,"['Passion Pictures', 'Cowboy Films', 'BFI', 'Film4 Productions', 'Entertainment One', 'Protagonist Pictures']",0.0
False,[35],41663,it,Fantozzi contro tutti,7.812,1980-11-13,Fantozzi Against the Wind,6.654,502,0.0,['Maura International Films'],0.0
False,"[53, 18]",2251,en,Unfaithful,32.847,2002-05-10,Unfaithful,6.654,1437,119137784.0,"['Fox 2000 Pictures', 'Regency Enterprises', '20th Century Fox']",50000000.0
False,"[80, 18, 36, 53, 10770]",363992,en,The Wizard of Lies,22.882,2017-05-11,The Wizard of Lies,6.653,538,0.0,"['Tribeca Productions', 'HBO Films']",0.0
False,[35],11566,en,Dave,31.255,1993-05-07,Dave,6.653,704,92000000.0,"['Donner/Shuler-Donner Productions', 'Northern Lights Entertainment', 'Warner Bros. Pictures']",28000000.0
False,[27],489430,es,Aterrados,30.258,2018-05-03,Terrified,6.652,570,0.0,"['Machaco Films', 'INCAA']",0.0
False,[35],41610,it,Fracchia la belva umana,7.442,1981-12-22,Fracchia The Human Beast,6.652,313,3779105.0,"['Capital Film', 'Maura International Films']",0.0
False,"[37, 80, 28, 12]",11967,en,Young Guns,28.867,1988-02-17,Young Guns,6.652,855,44700000.0,"['Morgan Creek Entertainment', '20th Century Fox']",13000000.0
False,"[35, 10751, 14]",10719,en,Elf,36.631,2003-10-09,Elf,6.651,3839,228500000.0,"['New Line Cinema', 'Guy Walks into a Bar Productions']",32000000.0
False,"[80, 18, 53]",599845,it,L'Immortale,16.776,2019-12-05,The Immortal,6.651,454,0.0,"['Cattleya', 'Vision Distribution', 'Beta Film']",0.0
False,[18],417812,en,Wildlife,17.336,2018-09-23,Wildlife,6.65,664,3097257.0,"['Sight Unseen Pictures', 'June Pictures', 'Nine Stories Productions']",0.0
False,"[18, 9648, 53, 10770]",236399,en,Flowers in the Attic,19.575,2014-01-18,Flowers in the Attic,6.651,342,0.0,"['Cue the Dog Productions', 'Front Street Pictures', 'Lifetime']",0.0
False,"[18, 53]",83686,en,The Words,13.842,2012-09-07,The Words,6.651,1122,13231461.0,"['Also Known As Pictures', 'Animus Films', 'Benaroya Pictures', 'Serena Films', 'Waterfall Media', 'Rose Pictures']",6000000.0
