adult,genre_ids,id,original_language,popularity,release_date,title,vote_average,vote_count,revenue,production_companies,budget,release_year,release_month,num_genres,release_season,budget_revenue_ratio
False,"[18, 35]",11307,en,20.653,1982-08-13,The World According to Garp,6.668,310,29712172.0,"['Pan Arts', 'Warner Bros. Pictures']",17000000.0,1982,8,2,Summer,0.5721560847184111
False,"[18, 27]",10873,en,15.594,2000-05-15,Shadow of the Vampire,6.668,542,8279017.0,"['BBC Film', 'Saturn Films', 'Long Shot Pictures', 'Pilgrim Films']",8000000.0,2000,5,2,Spring,0.966298293625922
False,"[18, 10749]",814757,en,22.721,2022-12-09,Empire of Light,6.7,487,11400000.0,"['Searchlight Pictures', 'Neal Street Productions', 'TSG Entertainment']",13500000.0,2022,12,2,Winter,1.1842105263157894
False,"[14, 28]",1487,en,52.938,2004-04-02,Hellboy,6.666,6591,99318987.0,"['Columbia Pictures', 'Revolution Studios', 'Dark Horse Entertainment', 'Lawrence Gordon Productions', 'Starlite Films', 'Partnership Films']",66000000.0,2004,4,2,Spring,0.6645255050778961
False,"[16, 35, 10751, 14]",170687,en,36.736,2014-09-10,The Boxtrolls,6.7,1596,108255770.0,['Laika'],60000000.0,2014,9,4,Fall,0.5542429747624538
False,"[35, 10749, 18]",2976,en,30.394,2007-07-19,Hairspray,6.665,2390,90450008.0,"['Offspring Entertainment', 'New Line Cinema', 'Zadan / Meron Productions', 'Ingenious Media']",75000000.0,2007,7,3,Summer,0.8291873230127299
False,"[18, 35, 10749]",245,en,21.916,2002-04-26,About a Boy,6.665,2112,129000000.0,"['Universal Pictures', 'StudioCanal', 'Working Title Films', 'Tribeca Productions', 'Kalima Productions']",27000000.0,2002,4,3,Spring,0.20930232558139536
False,"[35, 18]",14926,en,33.652,2003-08-15,Uptown Girls,6.7,774,44600000.0,['GreeneStreet Films'],20000000.0,2003,8,2,Summer,0.4484304932735426
False,"[80, 18, 53]",10427,en,18.009,1993-05-14,Red Rock West,6.664,311,2500000.0,"['Propaganda Films', 'PolyGram Filmed Entertainment', 'Universal Pictures']",8000000.0,1993,5,3,Spring,3.2
False,"[18, 10749]",9079,en,20.262,1991-06-20,Dying Young,6.664,427,82264675.0,"['20th Century Fox', 'Fogwood Films']",18000000.0,1991,6,2,Summer,0.2188059455653353
False,"[27, 18]",11654,en,30.397,1983-04-29,The Hunger,6.7,518,10200000.0,"['Metro-Goldwyn-Mayer', 'The Richard Shepherd Company']",10000000.0,1983,4,2,Spring,0.9803921568627451
False,"[27, 9648]",565,en,42.982,2002-10-18,The Ring,6.662,5892,249348933.0,"['DreamWorks Pictures', 'BenderSpink', 'Parkes/MacDonald Productions']",48000000.0,2002,10,2,Fall,0.19250132504076126
False,"[12, 35, 10751, 14]",499701,en,50.609,2019-08-08,Dora and the Lost City of Gold,6.662,1635,120600000.0,"['Nickelodeon Movies', 'Paramount Players', 'Walden Media', 'Screen Queensland', 'Paramount']",49000000.0,2019,8,4,Summer,0.40630182421227196
False,"[10751, 16, 14, 12, 35, 10402]",136799,en,57.427,2016-10-13,Trolls,6.662,3449,347337803.0,"['DreamWorks Animation', '20th Century Fox']",125000000.0,2016,10,6,Fall,0.3598802057258363
False,"[27, 53, 14]",10072,en,20.628,1987-02-27,A Nightmare on Elm Street 3: Dream Warriors,6.662,1648,44800000.0,"['New Line Cinema', 'Smart Egg Pictures', 'Heron Communications']",4000000.0,1987,2,3,Winter,0.08928571428571429
False,"[28, 35, 10752]",6415,en,27.164,1999-09-27,Three Kings,6.661,1951,108000000.0,"['Village Roadshow Pictures', 'Atlas Entertainment', 'Village-A.M. Partnership', 'Coast Ridge', 'Junger Witt Productions']",75000000.0,1999,9,3,Fall,0.6944444444444444
False,"[35, 18]",315664,en,22.063,2016-05-06,Florence Foster Jenkins,6.661,1404,48902953.0,"['BBC Film', 'Qwerty Films', 'Pathé']",29000000.0,2016,5,2,Spring,0.5930112236780466
False,"[18, 10749]",1788,en,32.596,1984-02-17,Footloose,6.661,1919,80035402.0,"['Paramount', 'IndieProd Company Productions']",8200000.0,1984,2,2,Winter,0.1024546612510299
False,"[18, 36]",46332,fr,15.626,2010-09-08,Of Gods and Men,6.66,349,41424067.0,"['Why Not Productions', 'Armada Films', 'France 3 Cinéma']",4000000.0,2010,9,2,Fall,0.09656222311536913
False,"[10749, 35, 18]",3573,en,19.284,1996-08-02,Emma,6.7,564,22231658.0,"['Miramax', 'Haft Entertainment', 'Matchmaker Films']",6000000.0,1996,8,3,Summer,0.26988540395862515
False,"[878, 28, 12]",97,en,30.153,1982-07-09,Tron,6.659,2149,33000000.0,"['Lisberger/Kushner Productions', 'Walt Disney Productions']",17000000.0,1982,7,3,Summer,0.5151515151515151
False,"[80, 18, 9648]",20714,ru,10.203,2007-06-06,12,6.659,345,7537453.0,"['Studio Trite', 'Federal Agency for Culture and Cinematograph', 'Mosfilm']",4000000.0,2007,6,3,Summer,0.530683242734648
False,"[18, 53]",337674,fr,19.159,2016-05-25,Elle,6.658,1780,2341534.0,"['France 2 Cinéma', 'SBS Productions', 'Twenty Twenty Vision Filmproduktion', 'Proximus', 'Entre Chien et Loup']",9804690.0,2016,5,2,Spring,4.187293458049296
False,[35],177699,en,12.58,2013-07-24,Alan Partridge: Alpha Papa,6.658,419,9800000.0,"['BFI', 'BBC Film', 'StudioCanal', 'Baby Cow Productions']",4000000.0,2013,7,1,Summer,0.40816326530612246
False,"[18, 53]",87492,en,28.274,2014-11-14,Foxcatcher,6.658,2198,12096300.0,"['Annapurna Pictures', 'Likely Story']",24000000.0,2014,11,2,Fall,1.9840777758488133
False,"[18, 27, 53]",86825,en,23.96,2013-02-28,Stoker,6.658,2136,12077441.0,"['Fox Searchlight Pictures', 'Indian Paintbrush', 'Scott Free Productions', 'Dayday Films', 'Ingenious Media']",12000000.0,2013,2,3,Winter,0.9935879628805473
False,"[28, 35, 12, 10752]",7446,en,52.951,2008-08-09,Tropic Thunder,6.658,5845,195702811.0,"['DreamWorks Pictures', 'Red Hour', 'Goldcrest', 'International Film Production Stella-del-Sud Second GmbH & Co. KG']",92000000.0,2008,8,4,Summer,0.47010055466193584
False,"[12, 28, 53]",660,en,34.642,1965-12-11,Thunderball,6.658,2175,141195658.0,['EON Productions'],5500000.0,1965,12,3,Winter,0.038953039193315706
False,"[27, 53, 18]",848058,es,30.63,2022-10-07,Piggy,6.657,526,543064.0,"['Morena Films', 'Backup Media', 'Cerdita AIE']",2400000.0,2022,10,3,Fall,4.419368619536556
False,"[27, 9648, 53]",614479,en,70.222,2023-07-05,Insidious: The Red Door,6.657,1520,185582093.0,"['Blumhouse Productions', 'Stage 6 Films', 'Screen Gems', 'Oren Peli Productions', 'Solana Films']",16000000.0,2023,7,3,Summer,0.08621521474057306
